id	year	growth	site	farm	land	long	lat	ln_cover	site.rich	ln_site.rich	site.FRic	feedagg.FRic	substrate.FRic	diet.FRic	nestagg.FRic	movements.FRic	lnmass.FRic	large	small	v.small	flocking	non-flocking	aerial	canopy	ground	under	invert	nectar	seeds	varied	colonial	non-colonial	local	nomadic	partial
2002-S-DIET-2	2002	regrowth	DIET-2	Diet	Junee	147.5014872	-34.7516394	0	10	2.302585093	0.273287139	2	2	3	2	3	3.031145761	7	2	1	8	2	0	4	6	0	2	0	5	3	5	5	6	2	2
2002-S-DIET-3	2002	oldgrowth	DIET-3	Diet	Junee	147.4780029	-34.7715997	0	13	2.564949357	0.330448947	2	2	4	2	3	3.031145761	8	4	1	9	4	0	5	8	0	4	0	5	3	6	7	8	2	3
2002-S-DIET-4	2002	regrowth	DIET-4	Diet	Junee	147.4885219	-34.7837408	1.386294361	12	2.48490665	0.243721542	2	2	4	2	2	2.0650461	8	4	0	10	2	0	5	7	0	3	0	5	2	5	7	11	0	1
2002-S-DUMA-1	2002	planting	DUMA-1	Duma	Ladysmith	147.4953992	-35.1969682	0	23	3.135494216	0.400947289	2	4	5	2	3	2.563721906	7	11	5	16	7	2	11	9	1	13	3	4	2	11	12	12	4	7
2002-S-DUMA-2	2002	oldgrowth	DUMA-2	Duma	Ladysmith	147.4937207	-35.1991391	0	17	2.833213344	0.398420109	2	2	4	2	3	2.527160258	4	11	2	11	6	0	9	8	0	9	3	3	2	8	9	6	3	8
2002-S-DUMA-3	2002	planting	DUMA-3	Duma	Ladysmith	147.487197	-35.1994	0.693147181	23	3.135494216	0.354098643	2	3	4	2	3	3.214483833	7	12	4	13	10	0	11	10	2	14	1	4	4	8	15	14	3	6
2002-S-DUMA-4	2002	planting	DUMA-4	Duma	Ladysmith	147.4804173	-35.2028175	0	16	2.772588722	0.284371962	2	3	4	2	3	2.689634893	5	8	3	13	3	0	6	8	2	9	1	4	2	7	9	12	3	1
2002-S-GEDD-1	2002	planting	GEDD-1	Gedd	Mirabooka	147.52753	-35.64867	0	8	2.079441542	0.283649498	2	3	4	2	3	2.496081314	2	3	3	5	3	0	4	2	2	4	1	2	1	3	5	5	2	1
2002-S-GEDD-2	2002	planting	GEDD-2	Gedd	Mirabooka	147.53096	-35.64863	0	12	2.48490665	0.370659338	2	2	4	2	2	2.459519667	7	2	3	11	1	0	7	5	0	4	2	4	2	5	7	8	0	4
2002-S-GEDD-3	2002	planting	GEDD-3	Gedd	Mirabooka	147.52133	-35.66514	1.098612289	18	2.890371758	0.419903437	2	3	4	2	3	3.296901145	7	6	5	10	8	0	6	10	2	9	1	4	4	4	14	14	1	3
2002-S-GEDD-4	2002	regrowth	GEDD-4	Gedd	Mirabooka	147.53356	-35.66596	3.610917913	27	3.295836866	0.440326988	2	3	5	2	3	3.154115173	10	10	7	13	14	0	16	9	2	15	2	5	4	5	22	17	1	9
2002-S-HERI-1	2002	oldgrowth	HERI-1	Heri	Thugga	147.18681	-35.66445	1.386294361	11	2.397895273	0.270435174	2	2	4	2	3	2.541952121	5	5	1	8	3	0	5	6	0	5	0	3	2	4	7	9	1	1
2002-S-HERI-2	2002	planting	HERI-2	Heri	Thugga	147.18863	-35.65844	0	6	1.791759469	0.236013916	2	2	4	2	1	2.145065811	1	4	1	3	3	0	2	4	0	2	1	2	1	3	3	6	0	0
2002-S-HERI-3	2002	planting	HERI-3	Heri	Thugga	147.18057	-35.66484	2.708050201	12	2.48490665	0.291104357	2	3	3	2	2	2.918828629	2	3	7	6	6	0	5	4	3	10	1	0	1	2	10	8	0	4
2002-S-HERI-4	2002	planting	HERI-4	Heri	Thugga	147.17734	-35.6646	2.772588722	12	2.48490665	0.244746483	2	3	3	2	3	2.459519667	2	7	3	8	4	0	6	5	1	8	1	0	3	7	5	8	2	2
2002-S-HOLM-1	2002	oldgrowth	HOLM-1	Holm	Burumbuttock	146.79437	-35.80454	2.48490665	6	1.791759469	0.245822053	2	2	3	2	2	2.459519667	1	4	1	5	1	0	2	4	0	3	0	1	2	4	2	5	0	1
2002-S-HOLM-2	2002	oldgrowth	HOLM-2	Holm	Burumbuttock	146.7920758	-35.7982771	1.098612289	11	2.397895273	0.271196505	2	2	3	2	3	2.802679807	5	4	2	9	2	0	4	7	0	7	0	2	2	4	7	8	1	2
2002-S-HOLM-3	2002	regrowth	HOLM-3	Holm	Burumbuttock	146.78844	-35.79874	1.386294361	9	2.197224577	0.256999932	2	2	3	2	2	2.541952121	4	4	1	8	1	0	4	5	0	4	0	3	2	5	4	8	0	1
2002-S-HOLM-4	2002	oldgrowth	HOLM-4	Holm	Burumbuttock	146.78629	-35.8025	1.098612289	9	2.197224577	0.265632455	2	2	3	2	3	2.527160258	4	4	1	7	2	0	3	6	0	3	0	4	2	4	5	7	0	1
