code	lnmass	size	feedagg	substrate	diet	nestagg	movements
rbe	3.331483129	Sml	Flocking	Canopy	Invertebrates	Colonial	Partial_Migrant
rbfch	2.25434613	VSml	Flocking	Ground	Seeds	Colonial	Local_Dispersal
rbking	3.946001637	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Total_Migrant
rcrob	2.1653659	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Partial_Migrant
rfly	2.828791819	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
rpip	3.245761154	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Partial_Migrant
rrp	4.143305891	Sml	Flocking	Ground	Seeds	Colonial	Local_Dispersal
rsl	3.392403891	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Partial_Migrant
rw	3.157000421	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
rwb	4.50980414	Lge	Flocking	Canopy	Nectar	Non-colonial	Partial_Migrant
sbc	3.18428438	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
sbl	3.079613758	Sml	Non-flocking	Ground	Seeds	Non-colonial	Total_Migrant
scc	6.599870499	Lge	Flocking	Ground	Seeds	Colonial	Local_Dispersal
scrob	2.579445288	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Partial_Migrant
seye	2.459291238	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
sfly	2.856470206	VSml	Non-flocking	Canopy	Invertebrates	Colonial	Total_Migrant
sfw	2.358047329	VSml	Flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
sking	3.971653075	Sml	Flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
snib	7.207859871	Lge	Flocking	Ground	Invertebrates	Colonial	Nomadic
sp	5.036952602	Lge	Flocking	Ground	Seeds	Colonial	Partial_Migrant
spp	2.136951076	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
spw	2.587764035	VSml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
stb	1.991293155	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
stdove	5.081404365	Lge	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
stp	2.406043801	VSml	Flocking	Canopy	Invertebrates	Colonial	Partial_Migrant
stqu	4.615120517	Lge	Flocking	Ground	Seeds	Non-colonial	Nomadic
swftb	2.513656063	VSml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
tfm	5.624017506	Lge	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
tm	2.806386102	VSml	Flocking	Aerial	Invertebrates	Colonial	Partial_Migrant
tp	3.723280881	Sml	Flocking	Ground	Seeds	Non-colonial	Local_Dispersal
vsit	2.493209867	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
wag	3.032104382	Sml	Non-flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
wbb	3.726799633	Sml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
wbcs	4.188062566	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
wbsw	2.57036016	VSml	Non-flocking	Understorey	Invertebrates	Non-colonial	Local_Dispersal
wbws	3.56372557	Sml	Flocking	Canopy	Invertebrates	Colonial	Nomadic
wee	1.744842549	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
wels	2.677590994	VSml	Flocking	Aerial	Invertebrates	Colonial	Partial_Migrant
wfc	2.58968117	VSml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
wg	1.779545261	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
wib	7.501082124	Lge	Flocking	Ground	Invertebrates	Colonial	Local_Dispersal
wnhe	2.700153248	VSml	Flocking	Canopy	Nectar	Non-colonial	Partial_Migrant
wphe	2.907640051	VSml	Flocking	Canopy	Nectar	Colonial	Local_Dispersal
wttc	3.029608442	Sml	Non-flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
wtw	1.869234781	VSml	Non-flocking	Canopy	Invertebrates	Non-colonial	Partial_Migrant
wwc	5.888877958	Lge	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
wwt	3.237888667	Sml	Non-flocking	Canopy	Invertebrates	Colonial	Nomadic
yfhe	2.782435912	VSml	Flocking	Canopy	Nectar	Non-colonial	Partial_Migrant
yrtb	2.209647097	VSml	Flocking	Ground	Invertebrates	Non-colonial	Local_Dispersal
ytb	1.866660777	VSml	Flocking	Canopy	Invertebrates	Non-colonial	Local_Dispersal
ytbc	6.49375384	Lge	Flocking	Canopy	Seeds	Non-colonial	Local_Dispersal
ythe	3.28940094	Sml	Flocking	Canopy	Nectar	Non-colonial	Local_Dispersal
